,artist,track_title,year,lyric,total_week,peak
0,Flo Rida Featuring T-Pain,Low,2008,Let me talk to 'em,10,1
1,Flo Rida Featuring T-Pain,Low,2008,Let me talk to 'em (let it rain),10,1
2,Flo Rida Featuring T-Pain,Low,2008,Let me talk to 'em,10,1
3,Flo Rida Featuring T-Pain,Low,2008,C'mon,10,1
4,Flo Rida Featuring T-Pain,Low,2008,Shawty had them Apple Bottom jeans (jeans),10,1
5,Flo Rida Featuring T-Pain,Low,2008,Boots with the fur (with the fur),10,1
6,Flo Rida Featuring T-Pain,Low,2008,The whole club was looking at her,10,1
7,Flo Rida Featuring T-Pain,Low,2008,She hit the floor (she hit the floor),10,1
8,Flo Rida Featuring T-Pain,Low,2008,Next thing you know,10,1
9,Flo Rida Featuring T-Pain,Low,2008,"Shawty got low, low, low, low, low, low, low, low",10,1
10,Flo Rida Featuring T-Pain,Low,2008,Them baggy sweat pants,10,1
11,Flo Rida Featuring T-Pain,Low,2008,And the Reebok's with the straps (with the straps),10,1
12,Flo Rida Featuring T-Pain,Low,2008,She turned around and gave that big booty a smack (hey),10,1
13,Flo Rida Featuring T-Pain,Low,2008,She hit the floor (she hit the floor),10,1
14,Flo Rida Featuring T-Pain,Low,2008,Next thing you know,10,1
15,Flo Rida Featuring T-Pain,Low,2008,"Shawty got low, low, low, low, low, low, low, low",10,1
16,Flo Rida Featuring T-Pain,Low,2008,I ain't never seen none that'll make me go,10,1
17,Flo Rida Featuring T-Pain,Low,2008,"This crazy all night, spending my dough",10,1
18,Flo Rida Featuring T-Pain,Low,2008,Had the million dollar vibe and a bottle to go,10,1
19,Flo Rida Featuring T-Pain,Low,2008,"Them birthday cakes, they stole the show",10,1
20,Flo Rida Featuring T-Pain,Low,2008,"So sexual, she was flexible",10,1
21,Flo Rida Featuring T-Pain,Low,2008,"Professional, drinking X&amp;O",10,1
22,Flo Rida Featuring T-Pain,Low,2008,"Hold up, wait a minute",10,1
23,Flo Rida Featuring T-Pain,Low,2008,Do I see what I think I? Whoa,10,1
24,Flo Rida Featuring T-Pain,Low,2008,Did I think I've seen shawty get low,10,1
25,Flo Rida Featuring T-Pain,Low,2008,Ain't the same when it's up that close,10,1
26,Flo Rida Featuring T-Pain,Low,2008,Make it rain I'm making it snow,10,1
27,Flo Rida Featuring T-Pain,Low,2008,Work the pole I got the bank roll,10,1
28,Flo Rida Featuring T-Pain,Low,2008,I'm a say that I prefer them no clothes,10,1
29,Flo Rida Featuring T-Pain,Low,2008,"I'm into that, I love women exposed",10,1
30,Flo Rida Featuring T-Pain,Low,2008,She threw it back at me I gave her mo',10,1
31,Flo Rida Featuring T-Pain,Low,2008,"Cash ain't a problem, I know where it goes",10,1
32,Flo Rida Featuring T-Pain,Low,2008,She had them Apple Bottom jeans (jeans),10,1
33,Flo Rida Featuring T-Pain,Low,2008,Boots with the fur (with the fur),10,1
34,Flo Rida Featuring T-Pain,Low,2008,The whole club was looking at her,10,1
35,Flo Rida Featuring T-Pain,Low,2008,She hit the floor (she hit the floor),10,1
36,Flo Rida Featuring T-Pain,Low,2008,Next thing you know,10,1
37,Flo Rida Featuring T-Pain,Low,2008,"Shawty got low, low, low, low, low, low, low, low",10,1
38,Flo Rida Featuring T-Pain,Low,2008,Them baggy sweat pants,10,1
39,Flo Rida Featuring T-Pain,Low,2008,And the Reebok's with the straps (with the straps),10,1
40,Flo Rida Featuring T-Pain,Low,2008,She turned around and gave that big booty a smack (hey),10,1
41,Flo Rida Featuring T-Pain,Low,2008,She hit the floor (she hit the floor),10,1
42,Flo Rida Featuring T-Pain,Low,2008,Next thing you know,10,1
43,Flo Rida Featuring T-Pain,Low,2008,"Shawty got low, low, low, low, low, low, low, low",10,1
44,Flo Rida Featuring T-Pain,Low,2008,"Hey shawty, what I gotta do to get you home",10,1
45,Flo Rida Featuring T-Pain,Low,2008,My jeans filled with gwap and they're ready for show,10,1
46,Flo Rida Featuring T-Pain,Low,2008,"It's Cadillacs, Maybach for the sexy grown",10,1
47,Flo Rida Featuring T-Pain,Low,2008,Patr??n on the rocks that'll make you moan,10,1
48,Flo Rida Featuring T-Pain,Low,2008,"One stack (come on), two stacks (come on), three stacks (come on)",10,1
49,Flo Rida Featuring T-Pain,Low,2008,Now that's three grand,10,1
50,Flo Rida Featuring T-Pain,Low,2008,What you think I'm playing baby girl I'm the man,10,1
51,Flo Rida Featuring T-Pain,Low,2008,I ain't dealing rubber bands,10,1
52,Flo Rida Featuring T-Pain,Low,2008,That's what I told her,10,1
53,Flo Rida Featuring T-Pain,Low,2008,Her legs on my shoulder,10,1
54,Flo Rida Featuring T-Pain,Low,2008,I knew it was over,10,1
55,Flo Rida Featuring T-Pain,Low,2008,That Henny and Cola,10,1
56,Flo Rida Featuring T-Pain,Low,2008,Got me like a soldier,10,1
57,Flo Rida Featuring T-Pain,Low,2008,She ready for rover,10,1
58,Flo Rida Featuring T-Pain,Low,2008,I couldn't control her,10,1
59,Flo Rida Featuring T-Pain,Low,2008,"So lucky on me, I was just like clover",10,1
60,Flo Rida Featuring T-Pain,Low,2008,Shawty was hot like a toaster,10,1
61,Flo Rida Featuring T-Pain,Low,2008,Sorry but I had to fold her,10,1
62,Flo Rida Featuring T-Pain,Low,2008,Like a pornography poster,10,1
63,Flo Rida Featuring T-Pain,Low,2008,She showed her,10,1
64,Flo Rida Featuring T-Pain,Low,2008,Apple Bottom jeans (jeans),10,1
65,Flo Rida Featuring T-Pain,Low,2008,Boots with the fur (with the fur),10,1
66,Flo Rida Featuring T-Pain,Low,2008,The whole club was looking at her,10,1
67,Flo Rida Featuring T-Pain,Low,2008,She hit the floor (she hit the floor),10,1
68,Flo Rida Featuring T-Pain,Low,2008,Next thing you know,10,1
69,Flo Rida Featuring T-Pain,Low,2008,"Shawty got low, low, low, low, low, low, low, low",10,1
70,Flo Rida Featuring T-Pain,Low,2008,Them baggy sweat pants,10,1
71,Flo Rida Featuring T-Pain,Low,2008,And the Reebok's with the straps (with the straps),10,1
72,Flo Rida Featuring T-Pain,Low,2008,She turned around and gave that big booty a smack (hey),10,1
73,Flo Rida Featuring T-Pain,Low,2008,She hit the floor (she hit the floor),10,1
74,Flo Rida Featuring T-Pain,Low,2008,Next thing you know,10,1
75,Flo Rida Featuring T-Pain,Low,2008,"Shawty got low, low, low, low, low, low, low, low",10,1
76,Flo Rida Featuring T-Pain,Low,2008,"Whoa shawty, yeah she was worth the money",10,1
77,Flo Rida Featuring T-Pain,Low,2008,Lil' mama took my cash,10,1
78,Flo Rida Featuring T-Pain,Low,2008,And I ain't want it back,10,1
79,Flo Rida Featuring T-Pain,Low,2008,The way she bent that back,10,1
80,Flo Rida Featuring T-Pain,Low,2008,Got all them paper stacks,10,1
81,Flo Rida Featuring T-Pain,Low,2008,Tattoo above her crack,10,1
82,Flo Rida Featuring T-Pain,Low,2008,I had to handle that,10,1
83,Flo Rida Featuring T-Pain,Low,2008,I was on it sexy woman,10,1
84,Flo Rida Featuring T-Pain,Low,2008,"Let me show it, made me want it",10,1
85,Flo Rida Featuring T-Pain,Low,2008,"Two in the morning, I'm zoned in",10,1
86,Flo Rida Featuring T-Pain,Low,2008,Them ros?? bottles foaming,10,1
87,Flo Rida Featuring T-Pain,Low,2008,"She wouldn't stop, made it drop",10,1
88,Flo Rida Featuring T-Pain,Low,2008,Shawty did that pop &amp; lock,10,1
89,Flo Rida Featuring T-Pain,Low,2008,Had to break her off that gwap,10,1
90,Flo Rida Featuring T-Pain,Low,2008,"Gal was fine, just like my glock",10,1
91,Flo Rida Featuring T-Pain,Low,2008,Apple Bottom jeans (jeans),10,1
92,Flo Rida Featuring T-Pain,Low,2008,Boots with the fur (with the fur),10,1
93,Flo Rida Featuring T-Pain,Low,2008,The whole club was looking at her,10,1
94,Flo Rida Featuring T-Pain,Low,2008,She hit the floor (she hit the floor),10,1
95,Flo Rida Featuring T-Pain,Low,2008,Next thing you know,10,1
