"","year","sentiment","sentiment_sum"
"1",2008,"anger",623
"2",2008,"anticipation",787
"3",2008,"disgust",566
"4",2008,"fear",625
"5",2008,"joy",1034
"6",2008,"sadness",749
"7",2008,"surprise",554
"8",2008,"trust",742
"9",2009,"anger",539
"10",2009,"anticipation",625
"11",2009,"disgust",395
"12",2009,"fear",520
"13",2009,"joy",864
"14",2009,"sadness",455
"15",2009,"surprise",441
"16",2009,"trust",663
"17",2010,"anger",350
"18",2010,"anticipation",437
"19",2010,"disgust",276
"20",2010,"fear",301
"21",2010,"joy",730
"22",2010,"sadness",294
"23",2010,"surprise",325
"24",2010,"trust",388
"25",2011,"anger",402
"26",2011,"anticipation",592
"27",2011,"disgust",312
"28",2011,"fear",464
"29",2011,"joy",703
"30",2011,"sadness",446
"31",2011,"surprise",349
"32",2011,"trust",581
"33",2012,"anger",330
"34",2012,"anticipation",399
"35",2012,"disgust",240
"36",2012,"fear",357
"37",2012,"joy",780
"38",2012,"sadness",498
"39",2012,"surprise",274
"40",2012,"trust",378
"41",2013,"anger",401
"42",2013,"anticipation",519
"43",2013,"disgust",234
"44",2013,"fear",445
"45",2013,"joy",773
"46",2013,"sadness",439
"47",2013,"surprise",353
"48",2013,"trust",556
"49",2014,"anger",389
"50",2014,"anticipation",528
"51",2014,"disgust",297
"52",2014,"fear",410
"53",2014,"joy",739
"54",2014,"sadness",463
"55",2014,"surprise",276
"56",2014,"trust",500
"57",2015,"anger",232
"58",2015,"anticipation",312
"59",2015,"disgust",153
"60",2015,"fear",224
"61",2015,"joy",519
"62",2015,"sadness",282
"63",2015,"surprise",190
"64",2015,"trust",334
"65",2016,"anger",442
"66",2016,"anticipation",527
"67",2016,"disgust",285
"68",2016,"fear",388
"69",2016,"joy",673
"70",2016,"sadness",363
"71",2016,"surprise",310
"72",2016,"trust",548
"73",2017,"anger",627
"74",2017,"anticipation",575
"75",2017,"disgust",382
"76",2017,"fear",577
"77",2017,"joy",761
"78",2017,"sadness",526
"79",2017,"surprise",299
"80",2017,"trust",623
"81",2018,"anger",708
"82",2018,"anticipation",460
"83",2018,"disgust",444
"84",2018,"fear",529
"85",2018,"joy",610
"86",2018,"sadness",524
"87",2018,"surprise",305
"88",2018,"trust",616
